section,title,rules,conditions,validations,exceptions,timelines,authorities,documents
1.01,Notification of Procedure,2,3,2,2,0,3,0
1.02,Objective,0,0,0,0,0,0,0
1.03,Definition,1,0,1,0,0,0,0
1.04,E-governance of Foreign Trade in DGFT,6,5,7,0,0,11,22
1.05,Use of Digital Signature Certificates and Aadhar e-Sign,0,1,1,0,0,2,1
1.06,Conversion of Currencies in e-BRCs,0,2,0,0,0,1,0
1.07,Generation of e BRC where payments are realised through Insurance,0,13,2,0,2,7,6
1.08,Status Holder: Application for grant of Status Certificate,4,4,4,0,0,3,2
1.09,Validity of status certificate,4,6,4,0,4,0,5
1.10,Maintenance of Accounts and Submission of Annual Export Statement,3,2,3,0,1,3,2
1.11,Refusal /Suspension /Cancellation of Certificate,5,11,7,0,2,5,6
1.12,Appeal,4,4,4,0,4,2,2
