section,title,rules,conditions,validations,exceptions,timelines,authorities,documents
10.00,Policy,0,1,0,0,0,0,0
10.01,Coverage,0,0,0,0,0,0,1
10.02,SCOMET categories and licensing jurisdiction,0,12,0,9,0,4,2
10.03,Supply of SCOMET Items from DTA to SEZ/Eo U and outside,1,2,3,1,1,4,2
10.04,Application and Documentation for SCOMET Authorisation,2,15,9,6,2,5,14
10.05,Additional controls on Non-SCOMET items for dual use,7,9,7,0,0,3,6
10.06,Inter Ministerial Working Group (IMWG),7,11,7,4,7,5,6
10.07,Applicability of Weapon of Mass Development Act (WMD Act),0,0,0,0,0,0,0
10.08,Procedure/ Guidelines for filing / Evaluation of Applications,2,2,2,0,0,3,2
10.09,Issue of authorisation for Repeat Orders of SCOMET item(s),36,51,41,2,25,6,42
10.11,Issue of export authorisation for spare parts of SCOMET items,0,2,0,0,1,0,2
10.12,Issue of authorisations for repair/replacement of defective,28,61,40,3,34,2,34
1,Proof of import of the item(s):,0,1,0,1,0,0,5
2,Proof of obligation for repair of defective/damaged items:,11,22,12,1,5,0,13
3,An Undertaking from the Indian exporter;,1,2,1,0,2,1,3
4,Certified/approved Internal Compliance Programme or demonstrating,0,1,1,0,0,0,0
5,Authorized Economic Operator (AEO) Certification along with ICP,8,15,11,1,7,3,10
10.13,Issue of export authorisations for,28,29,29,5,21,4,21
10.14,Issue of export authorisations for re-export/return of,7,7,7,1,4,0,4
10.15,Global Authorisation for Intra-Company Transfers (GAICT),6,9,5,6,0,2,0
10.15,B below.,24,40,30,5,8,6,22
1,"Policy & Eligibility: SCOMET authorization will not be required, for the export",14,17,13,2,6,2,16
1,Any on-site inspection will be allowed by the applicant,0,1,1,0,0,1,0
2,The applicant exporter declares that the items that are,1,1,1,0,0,0,0
3,The applicant exporter declares that subsequent to the,1,1,1,0,0,1,1
4,Action will be taken against the exporter under FT (D & R),5,17,8,0,3,2,7
1,They shall notify the relevant government authorities in the online,2,2,2,0,0,1,1
3,"They have an agreement or purchase order, an excerpt of a contract",0,1,0,0,1,0,0
4,"The documents submitted by the exporter must include the name, contact",1,1,1,0,1,0,1
5,"Additional details, if any sought by DGFT",0,1,0,0,0,1,0
2,Post Reporting for export / re-export of items under GAET,8,9,8,0,6,1,3
3,Record Keeping,2,0,2,0,2,3,2
4,General Conditions & Exclusions,2,6,2,0,0,1,2
5,Validity,1,1,2,0,1,0,0
6,Suspension/Revocation:,4,5,3,0,3,3,3
1,Any on-site inspection will be allowed by the applicant exporter if required,0,1,1,0,0,2,0
2,The applicant exporter declares that the items that are intended to be,1,1,1,0,0,0,0
3,The applicant exporter declares that subsequent to the issuance of export,6,10,5,0,0,3,4
4,"Action will be taken against the exporter under FT (D & R) Act, 1992 for any",2,6,3,0,2,1,2
1,They shall notify the relevant government authorities in the online portal of,2,2,2,0,0,1,1
3,"They have an agreement or purchase order, an excerpt of a contract from the",3,7,3,0,3,3,2
5,"Additional details, if any sought by DGFT.",0,1,0,0,0,1,0
2,Post reporting for export / re-export of items under GAEIS,1,1,1,0,1,0,1
1,GAEIS issued for export / re-export of SCOMET items under the above,4,5,5,0,5,1,2
2,GAEIS cannot be revalidated in terms of Paragraph 10.20 of HBP 2023.,0,0,1,0,0,0,0
6,Suspension / Revocation,1,1,1,0,1,2,1
10.16,General Authorisation for Export of Chemicals and related,48,78,54,0,29,6,33
10.17,Validity Period of SCOMET Authorisations,9,9,9,5,8,0,2
5,SCOMET GAED issued for export / re-export of SCOMET items under,1,1,1,0,1,0,0
6,SCOMET GAET issued for export / re-export of SCOMET items under,6,6,6,3,6,0,2
7,SCOMET GAEIS issued for export / re-export of SCOMET items,1,1,1,0,1,0,0
10.18,Record Keeping,1,0,1,0,1,0,1
10.19,Voluntary Self Disclosure of export of dual use items,18,30,14,0,14,16,17
10.20,Revalidation of SCOMET Authorisation,4,8,10,0,11,4,14
